id,text
1,Virus nipah (NiV) adalah virus zoonosis yang berarti dapat menular dari hewan ke manusia.
2,Pertama kali diidentifikasi pada tahun 1998 di Malaysia saat terjadi wabah di kalangan peternak babi.
3,Menurut data dari World Health Organization (WHO), infeksi virus nipah dapat menyebabkan penyakit yang parah pada manusia, mulai dari infeksi pernapasan hingga ensefalitis (radang otak) yang mematikan.
4,People with infection can develop a fever, and symptoms involving the brain (such as headache or confusion), and/or the lungs (such as difficulty breathing or cough).
5,Fruit bats of the Pteropodidae family are the natural host of Nipah virus.
6,Nipah virus was first identified in 1998 during an outbreak among pig farmers in Malaysia.
7,In 1999, an outbreak was reported in Singapore following the importation of sick pigs from Malaysia.
8,Fruit bats from the Pteropodidae family are considered the natural host of Nipah virus and are present in different parts of Asia and in Australia.
9,Infection with Nipah virus does not appear to cause disease in fruit bats.
10,The incubation period ŌĆō that is the time from infection to the onset of symptoms ŌĆō ranges from 3 to 14 days.
11,The main diagnostic test is real time polymerase chain reaction (RT-PCR) of respiratory samples, blood or cerebrospinal fluid (a spinal tap)
12,While there are no specific treatments for Nipah, early diagnosis will promote early supportive care.
13,Dia mengatakan, para peneliti ini menegaskan dengan ditemukannya reaktor Nipah pada kelelawar Pteropus vampyrus tetapi tidak pada babi di Indonesia, tidak berarti bahwa ternak babi aman dari infeksi Nipah.
14,Tingkat kematian akibat infeksi virus Nipah termasuk tinggi, sekitar 40 ŌĆō 75%.
15,Di Indonesia sendiri, keberadaan virus Nipah sudah terdeteksi pada kelelawar pemakan buah yang hidup di Sumatera Utara, Jawa, dan Kalimantan Barat
16,Hewan yang menjadi reservoir alami virus ini banyak ditemukan di wilayah pesisir serta beberapa pulau di Samudra Hindia, termasuk Indonesia.
17,Pemberian obat antikejang apabila pasien mengalami kejang.
18,Gunakan alat pelindung diri saat membersihkan kotoran atau urine hewan.
19,etika sebuah kasus ditemukan di suatu negara, negara lain dapat berisiko karena mobilitas penduduk yang tinggi dan masa inkubasi yang panjang yang dapat memakan waktu satu bulan.
20,Nipah dapat menyebabkan demam dan peradangan otak.
21,Nipah virus outbreaks have been reported in South and Southeast Asia.
22,Early reporting of symptoms can save lives.
23,Health authorities coordinate response efforts during outbreaks.
24,Isolation of patients helps prevent further transmission.
25,Climate change may influence the distribution of reservoir hosts.
26,Laboratory workers must handle samples with caution.
27,Muscle pain may accompany initial symptoms.
28,Brain inflammation can progress rapidly without treatment.
29,Public health surveillance is essential for early detection.
30,Community cooperation is vital for effective control.
31,Kasus virus Nipah juga pernah dilaporkan di Singapura.
32,Di Bangladesh, penularan virus Nipah sering dikaitkan dengan konsumsi nira kurma.
33,Nira kurma dapat terkontaminasi air liur atau urine kelelawar.
34,Organisasi Kesehatan Dunia memantau perkembangan wabah virus Nipah secara global.
35,WHO mengategorikan virus Nipah sebagai patogen prioritas.
36,Masa inkubasi virus Nipah berkisar antara beberapa hari hingga dua minggu.
37,Gejala pernapasan dapat memburuk dengan cepat pada kasus yang parah.
38,Pasien dengan ensefalitis membutuhkan perawatan intensif di rumah sakit.
39,Belum tersedia obat antivirus khusus untuk infeksi virus Nipah.
40,Penanganan pasien virus Nipah berfokus pada perawatan suportif.
41,Diagnosis virus Nipah dilakukan melalui pemeriksaan laboratorium.
42,Metode RT-PCR digunakan untuk mendeteksi keberadaan virus Nipah.
43,Sampel pemeriksaan dapat diambil dari darah atau cairan pernapasan.
44,Tenaga kesehatan memiliki risiko tinggi saat menangani pasien terinfeksi.
45,Penggunaan alat pelindung diri sangat penting dalam mencegah penularan.
46,Isolasi pasien dilakukan untuk membatasi penyebaran virus.
47,Pelacakan kontak dilakukan untuk memantau individu yang terpapar.
48,Surveilans kesehatan membantu mendeteksi wabah sejak dini.
49,Peningkatan kesadaran masyarakat dapat mengurangi risiko penularan.
50,Edukasi publik menjadi bagian penting dalam pengendalian wabah.
51,Mobilitas penduduk dapat mempengaruhi penyebaran penyakit menular.
52,Perubahan lingkungan dapat meningkatkan interaksi manusia dengan hewan liar.
53,Deforestasi berpotensi meningkatkan risiko penularan penyakit zoonosis.
54,Penelitian terus dilakukan untuk mengembangkan vaksin virus Nipah.
55,Kerja sama internasional diperlukan dalam menghadapi wabah global.
56,Respons cepat sangat penting untuk menekan jumlah kasus.
57,Kesiapsiagaan sistem kesehatan menentukan keberhasilan pengendalian wabah.
58,Pelaporan kasus secara transparan membantu koordinasi penanganan.
59,Keterlibatan masyarakat lokal mendukung upaya pencegahan.
60,Upaya pencegahan berfokus pada pengurangan paparan terhadap reservoir alami.
61,Pemerintah daerah berperan dalam implementasi kebijakan kesehatan.
62,Infeksi virus Nipah dapat berkembang menjadi ensefalitis yang mengancam nyawa.
63,Ensefalitis akibat virus Nipah dapat menyebabkan kejang dan gangguan kesadaran.
64,Gangguan pernapasan sering ditemukan pada pasien dengan infeksi berat.
65,Pasien dapat mengalami batuk dan sesak napas selama fase akut penyakit.
66,Infeksi virus Nipah memiliki tingkat kematian yang relatif tinggi dibandingkan virus zoonosis lainnya.
67,Penularan virus Nipah dari manusia ke manusia telah dilaporkan dalam beberapa wabah.
68,Kontak langsung dengan cairan tubuh pasien meningkatkan risiko penularan.
69,Tenaga medis harus menerapkan protokol pencegahan infeksi secara ketat.
70,Penggunaan masker dan sarung tangan dapat mengurangi risiko paparan virus.
71,Karantina pasien diperlukan untuk mencegah penyebaran virus Nipah.
72,Wabah virus Nipah sering terjadi di wilayah Asia Selatan dan Asia Tenggara.
73,Bangladesh merupakan salah satu negara dengan kasus virus Nipah yang berulang.
74,Di India, wabah virus Nipah pernah dilaporkan di negara bagian Kerala.
75,Investigasi epidemiologi dilakukan untuk melacak sumber penularan.
76,Kelelawar pemakan buah berperan penting dalam siklus alami virus Nipah.
77,Virus Nipah dapat berpindah dari kelelawar ke manusia secara tidak langsung.
78,Buah yang terkontaminasi air liur kelelawar dapat menjadi sumber infeksi.
79,Nira kelapa atau nira kurma mentah berpotensi menjadi media penularan.
80,Masyarakat di daerah endemis dianjurkan untuk menghindari konsumsi nira mentah.
81,Edukasi masyarakat menjadi langkah penting dalam pencegahan wabah.
82,Surveilans penyakit membantu mendeteksi kasus lebih awal.
83,Pemeriksaan laboratorium diperlukan untuk memastikan diagnosis virus Nipah.
84,Metode RT-PCR merupakan standar untuk deteksi virus Nipah.
85,Sampel darah dan cairan pernapasan digunakan dalam pemeriksaan diagnostik.
86,Belum tersedia vaksin yang disetujui untuk penggunaan umum.
87,Penelitian vaksin virus Nipah masih dalam tahap pengembangan.
88,Terapi yang diberikan bersifat suportif dan simptomatik.
89,Pasien dengan kondisi berat memerlukan perawatan intensif.
90,Perawatan suportif meliputi pemberian cairan dan bantuan pernapasan.
91,Organisasi kesehatan internasional memantau perkembangan virus Nipah.
92,WHO memasukkan virus Nipah ke dalam daftar patogen prioritas.
93,Kerja sama lintas negara diperlukan untuk pengendalian wabah.
94,Mobilitas penduduk dapat mempercepat penyebaran penyakit menular.
95,Sistem kesehatan harus siap menghadapi penyakit infeksi emerging.
96,Pelaporan kasus yang cepat membantu pengambilan keputusan.
97,Transparansi data mendukung upaya pengendalian wabah.
98,Kesiapsiagaan nasional penting untuk menghadapi ancaman zoonosis.
99,Perubahan iklim dapat mempengaruhi pola penyebaran virus.
100,Interaksi manusia dengan satwa liar meningkatkan risiko zoonosis.
101,Pengawasan kesehatan hewan mendukung pencegahan penyakit.
102,Pendekatan satu kesehatan diperlukan untuk menangani virus Nipah.
103,Respiratory failure can occur in advanced stages of infection.
104,The case fatality rate of Nipah virus infection is considered high.
105,Nipah virus outbreaks are often linked to contact with infected animals.
106,Fruit bats are recognized as the primary reservoir of Nipah virus.
107,The virus can be transmitted from bats to humans through contaminated food.
108,Consumption of raw date palm sap has been associated with infection.
109,Human-to-human transmission has been documented in healthcare settings.
110,Close contact with infected patients increases transmission risk.
111,Healthcare workers must use appropriate protective equipment.
112,Isolation of confirmed cases is recommended to prevent further spread.
113,Laboratory testing is required to confirm Nipah virus infection.
114,Real time polymerase chain reaction is commonly used for diagnosis.
115,Samples are typically collected from blood or respiratory secretions.
116,There is currently no specific antiviral treatment for Nipah virus.
117,Medical management focuses on supportive and symptomatic care.
118,Patients with severe illness may require intensive care support.
119,Mechanical ventilation may be necessary in critical cases.
120,Public health surveillance plays a key role in outbreak detection.
121,Rapid reporting of suspected cases improves outbreak response.
122,Contact tracing helps identify individuals at risk of infection.
123,Quarantine measures may be implemented during outbreaks.
124,International health agencies monitor Nipah virus activity.
125,The World Health Organization considers Nipah virus a priority pathogen.
126,Outbreak preparedness is essential for minimizing health impacts.
127,Community awareness can reduce exposure to risk factors.
128,Educational campaigns support preventive health behaviors.
129,Environmental changes may influence disease emergence.
130,Deforestation can increase contact between humans and wildlife.
131,Zoonotic diseases pose a significant global health threat.
132,Research efforts are focused on vaccine development.
133,Several experimental vaccines are currently under study.
134,Animal surveillance contributes to early warning systems.
135,Timely intervention can reduce mortality during outbreaks.
136,Data sharing improves international outbreak coordination.
137,Health systems must remain vigilant against emerging infections.
138,Indonesia memiliki tingkat interaksi manusia dan satwa liar yang tinggi, termasuk keberadaan kelelawar sebagai reservoir alami virus
139,Dalam banyak kasus, virus ini memicu ensefalitis akut atau peradangan otak yang bisa berkembang cepat hingga menyebabkan koma dan kematian.
140,Gejala awalnya sering menyerupai infeksi virus biasa, seperti demam, sakit kepala, nyeri otot, muntah, dan sakit tenggorokan.
141,seiring perkembangan penyakit, gejala neurologis mulai muncul, termasuk kebingungan, kantuk berlebihan, kejang, gangguan kesadaran, hingga kesulitan bernapas.
142,Karena perburukan bisa terjadi dengan cepat, deteksi dini dan perawatan intensif menjadi kunci keselamatan pasien.
143,Kontak langsung dengan hewan terinfeksi, seperti babi, juga menjadi jalur penularan.
144,penularan antarmanusia dapat terjadi melalui kontak dengan cairan tubuh, terutama di lingkungan layanan kesehatan.
145,Kelompok berisiko tinggi mencakup petani, pengumpul buah, pengasuh pasien, dan tenaga kesehatan, terutama mereka yang tinggal di wilayah rawan wabah.
146,Orang dewasa lebih sering terinfeksi karena aktivitas yang meningkatkan peluang kontak dengan hewan pembawa virus atau pasien.
147,Meski kasus pada anak-anak relatif lebih sedikit, tingkat kematiannya tetap tinggi jika terinfeksi.
148,Dibandingkan COVID-19, virus Nipah tidak menyebar dengan mudah melalui udara.
149,Namun, tingkat kematiannya jauh lebih tinggi, berkisar antara 40 hingga 75 persen.
150,Dari sudut pandang medis, khususnya neurologi, Nipah dinilai lebih merusak karena dampaknya yang langsung dan berat pada otak.
151,COVID-19 dikenal sangat menular, tetapi sebagian besar kasus bersifat ringan hingga sedang.
152,Sebaliknya, infeksi Nipah cenderung jarang, namun sering kali berujung fatal.
153,Penanganan berfokus pada perawatan suportif intensif di rumah sakit, termasuk pengelolaan pembengkakan otak, kejang, dan gangguan pernapasan.
154,Pasien berat kerap memerlukan perawatan ICU dengan pemantauan ketat.
155,Masyarakat dianjurkan menghindari konsumsi buah yang terkontaminasi, mencuci dan mengupas buah sebelum dimakan, serta menjauhi kontak dengan hewan sakit.
156,Tenaga kesehatan wajib menerapkan protokol pengendalian infeksi dan menggunakan alat pelindung diri secara ketat.
157,Meski belum menjadi ancaman global seperti COVID-19, kemunculan kembali virus Nipah menjadi pengingat bahwa wabah penyakit zoonosis tetap menjadi tantangan serius.
158,Melansir Science Alert, beberapa negara, termasuk Thailand, Malaysia, dan Singapura memperketat perbatasan mereka setelah setidaknya dua orang meninggal akibat virus Nipah di negara bagian Benggala Barat, India, bulan ini.
159,Dokter spesialis anak subspesialis infeksi penyakit tropik Dominicus Husada menyampaikan, di Indonesia belum ditemukan virus nipah pada manusia, namun telah ditemukan pada kelelawar.
160,Penularan virus nipah, kata Dominicus, memiliki masa inkubasi atau masa antara penularan dan muncul gejala 4-14 hari setelah terpapar virus.
161,Ada beberapa langkah pencegahan yang harus diperhatikan, di antaranya tidak mengonsumsi nira atau aren langsung dari pohon
162,Dari 64 kelelawar ini ditemukan dua kelelawar positif virus Nipah di Magelang.
163,Tjandra mengatakan analisis filogenetik selanjutnya menemukan bahwa kelelawar yang positif ini di Magelang adalah genotip Malaysia.
164,Genotip ini berkerabat dengan virus Nipah dari kelelawar Pteropus di Kamboja dan kelelawar Pteropus hypomelanus di Thailand.
165,Nipah memiliki fatalitas tinggi sebesar 40-70% dengan menyerang otak (ensepalitis), menurunkan kesadaran dan kejang.
166,Pada 26 Januari 2026, India melaporkan 2 kasus konfirmasi Nipah tanpa kematian di Negara Bagian West Bengal dan sampai saat ini tidak ditemukan penambahan kasus.
167,Cuci dan kupas buah secara menyeluruh sebelum dikonsumsi
168,Buang buah yang ada tanda gigitan kelelawar
169,Hindari konsumsi daging kelelawar atau daging hewan ternak yang dimasak kurang matang.
170,Buang buah apa pun yang terdapat bekas gigitan kelelawar atau buah yang menyentuh tanah
171,Menerapkan protokol kesehatan seperti cuci tangan pakai sabun atau menggunakan hand sanitizer, menerapkan etika batuk dan bersin, serta memakai masker apabila mengalami gejala, termasuk kelompok rentan
172,Hindari kontak dengan hewan ternak (seperti babi dan kuda) yang kemungkinan terinfeksi virus Nipah, apabila terpaksa harus melakukan kontak, maka menggunakan APD
173,Bagi tenaga kesehatan dan keluarga yang merawat serta petugas laboratorium yang mengelola spesimen pasien terinfeksi, menerapkan Pencegahan dan Pengendalian Infeksi (PPI) dengan benar
174,Kementerian Kesehatan India mengungkap sebanyak 196 orang yang melakukan kontak dengan mereka, telah dilacak dan dinyatakan negatif.
175,Laporan setempat menyebutkan bahwa hampir 100 orang, yang semuanya telah melakukan kontak dengan pasien telah dikarantina dan berada di bawah pengawasan.
176,Sebagai perbandingan, perkiraan menunjukkan tingkat kematian akibat COVID-19 hanya sedikit di atas satu persen.
177,India telah mengalami beberapa wabah Nipah sejak virus tersebut pertama kali terdeteksi di sana pada 2001, wabah paling mematikan terjadi di Benggala Bart, di mana 45 dari 66 orang yang terinfeksi meninggal dunia.
178,Bersihkan atau disinfeksi peternakan babi
179,Hewan yang terinfeksi virus harus dikarantina.
180,Hindari kontak dengan air liur, darah, atau cairan tubuh lainnya dari orang yang terinfeksi
181,Pekerja peternakan termasuk kelompok berisiko tinggi terpapar virus Nipah.
182,Radang otak merupakan komplikasi serius dari infeksi virus Nipah.
183,Gejala neurologis dapat muncul beberapa hari setelah demam awal.
184,Kejang sering ditemukan pada pasien dengan ensefalitis akibat virus Nipah.
185,Tingkat keparahan penyakit bervariasi antar individu yang terinfeksi.
186,Anak-anak dan orang dewasa sama-sama berisiko terinfeksi virus Nipah.
187,Belum ditemukan terapi spesifik yang dapat menyembuhkan infeksi virus Nipah.
188,Penanganan medis berfokus pada pengurangan gejala dan komplikasi.
189,Pasien dengan kondisi berat membutuhkan pemantauan ketat.
190,Fasilitas perawatan intensif berperan penting dalam penanganan kasus berat.
191,Diagnosis dini dapat meningkatkan peluang keselamatan pasien.
192,Laboratorium rujukan diperlukan untuk konfirmasi kasus virus Nipah.
193,Pengambilan sampel harus dilakukan dengan prosedur keamanan ketat.
194,Petugas kesehatan harus dilatih dalam pengendalian infeksi.
195,Alat pelindung diri wajib digunakan saat menangani pasien terinfeksi.
196,Pengendalian wabah membutuhkan koordinasi lintas sektor.
197,Pemerintah memiliki peran penting dalam respons kesehatan masyarakat.
198,Sistem surveilans membantu mendeteksi peningkatan kasus secara cepat.
199,Pelaporan kasus yang akurat mendukung pengambilan kebijakan.
200,Edukasi tentang kebersihan pangan dapat mengurangi penularan.
201,Perubahan pola penggunaan lahan mempengaruhi risiko penyakit infeksi.
202,Urbanisasi dapat meningkatkan interaksi manusia dan satwa liar.
203,Pengawasan kesehatan hewan menjadi bagian penting pencegahan wabah.
204,Penelitian berkelanjutan diperlukan untuk memahami virus Nipah.
205,Informasi kesehatan yang jelas membantu mengurangi kepanikan publik.
206,Kesadaran masyarakat berperan besar dalam menekan penyebaran penyakit.
207,Healthcare workers must follow strict infection control measures.
208,Metode RT-PCR digunakan untuk mendeteksi materi genetik virus.
209,Belum tersedia obat antivirus khusus untuk virus Nipah.
210,Blood and respiratory samples are commonly collected.
211,Sampel dapat diambil dari darah atau cairan pernapasan.
212,There is no specific antiviral treatment for Nipah virus.
213,Penanganan pasien difokuskan pada perawatan suportif.
214,The World Health Organization classifies Nipah virus as a priority pathogen.
215,Surveilans penyakit membantu mendeteksi wabah lebih awal.
216,Public health surveillance enables early outbreak detection.
217,Pelacakan kontak dilakukan untuk memutus rantai penularan.
218,Contact tracing is an important outbreak control strategy.
219,Karantina dapat diterapkan selama wabah berlangsung.
220,Quarantine measures help limit disease spread.
221,Population mobility can facilitate disease spread.
222,Mobilitas penduduk dapat mempercepat penyebaran penyakit.
223,para peneliti ini menegaskan dengan ditemukannya reaktor Nipah pada kelelawar Pteropus vampyrus tetapi tidak pada babi di Indonesia, tidak berarti bahwa ternak babi aman dari infeksi Nipah.
224,Penyebab utama virus nipah adalah kelelawar buah dari genus Pteropus, juga dikenal sebagai flying foxes
225,Kelelawar ini merupakan reservoir alami virus, artinya mereka dapat membawa virus tanpa menunjukkan gejala sakit.
226,Mengonsumsi produk makanan yang terpapar cairan tubuh hewan terinfeksi, seperti nira kelapa mentah yang dikumpulkan di dekat habitat kelelawar atau buah-buahan yang digigit kelelawar.
227,Batuk, sulit bernapas, dan pneumonia (radang paru-paru) atipikal.
228,ELISA (enzyme-linked immunosorbent assay) untuk mendeteksi antibodi terhadap virus nipah dalam sampel darah.
229,Uji netralisasi virus untuk mengukur kemampuan antibodi untuk menetralkan virus.
230,Pemberian cairan intravena untuk mencegah dehidrasi.
231,Pemberian obat penurun panas dan pereda nyeri.
232,Bantuan pernapasan, seperti oksigen atau ventilator, jika terjadi masalah pernapasan.
233,Ribavirin, obat antivirus spektrum luas, telah digunakan dalam beberapa kasus, tetapi efektivitasnya masih belum pasti dan memerlukan penelitian lebih lanjut.
234,Antibodi monoklonal juga sedang dikembangkan sebagai terapi potensial.
235,Terapkan praktik pertanian yang baik untuk mencegah penyebaran virus dari hewan ke manusia.
236,Gunakan alat pelindung diri (APD) seperti masker, sarung tangan, dan gaun saat merawat pasien yang terinfeksi virus nipah.
237,Deforestasi dan urbanisasi membawa manusia lebih dekat ke habitat kelelawar.
238,Pasien akan diisolasi di ruangan dengan tekanan negatif
239,Pengambilan sampel darah, urin, atau cairan serebrospinal untuk dikonfirmasi di laboratorium BSL-4 (biosafety level 4)
240,Virus Nipah merupakan tipe virus RNA yang berasal dari genus Henipavirus.
241,Mengingat Indonesia adalah negara yang punya populasi kelelawar buah, risiko penyebaran virus ini tetap ada.
242,Kontak erat dengan penderita atau cairan tubuhnya, termasuk droplet, urine, dan darah
243,Cara penularan yang tergolong beragam, termasuk dari droplet atau lendir saluran napas yang keluar saat bersin atau batuk, membuat virus Nipah lebih cepat menyebar, baik ke hewan ternak maupun manusia.
244,Inilah yang menjadi alasan mengapa infeksi virus Nipah ditakutkan menjadi pandemi baru bila upaya pencegahan dan pengendalian penyakit terlambat dilakukan.
245,Obat-obatan tertentu, seperti ribavirin atau antibodi monoklonal masih diteliti lebih lanjut efektivitasnya.
246,Implementation and adherence to policies such as regular testing for healthcare professionals, regular screening for individuals presenting with possible symptoms of Nipah virus as part of history taking, and strict quarantine policies in regions of the outbreak can help in early detection and treatment.
247,LongÉterm surveillance for the emergence of new variants and possible spillover can help prevent future outbreaks.
248,Stricter implementation of preventive measures to reduce COVIDŌĆÉ19 caseload will also reduce the strain on the healthcare industry.
249,This may allow more efficient control of other infectious diseases such as the Nipah virus, which, if not contained, can pose a severe threat to health and healthcare systems.
250,If COVID 19 has taught humanity anything, it is to be vigilant and invest in public health as an individual and society because no one is safe until everyone is.
251,In addition, there are three accessory proteins within the P: the V, W and C proteins, as a result of mRNA editing and the alternative start codon.
252,Despite the three strains sharing a high percentage of homology (NiV-M and NiV-B strains share 91.8% homology, and NiV-I sharing 85.14ŌĆō96.15% homology with both NiV-M and NiV-B), the B clade infections were shown to be significantly more pathogenic than the M clade
253,There are two distinct NiV surface glycoproteins that play essential roles in the entry of NiV into host cells
254,the G protein, which is responsible for host cell receptor-binding, and the F protein, which mediates membrane fusion between the virus and the host cell
255,Currently, the human cross-reactive monoclonal antibody (mAb) m102.4 is the most promising monoclonal antibody therapeutic treatment for NiV infection.
256,This antibody was affinity matured to strongly neutralize both NiV and HeV attachment glycoprotein G by blocking the interaction of G with the host cellular entry receptors Ephrin B2 and B3
257,m102.4 has demonstrated protection against HNV infection in both ferret and non-human primate (NHP) models of infection
258,A single intravenous (IV) infusion of m102.4 10 hours after intranasal infection with NiV afforded full protection in a ferret model of disease
259,Interestingly, a study comparing pathogenicity of NiV-M and NiV-B in the AGM model indicated that the treatment window for NiV-B may be shorter as compared to NiV-M.
260,Pharmacokinetics evaluations concluded that m102.4 remained active at levels capable of virus neutralization for at least 8 days post-administration.
261,Although this trial was small (30 participants) and unable to evaluate protective efficacy, the safety and tolerability demonstrated in this study make m102.4 one of the most promising therapeutic options for the treatment of patients with HNV exposure.
262,Saat ini, terapi yang digunakan untuk mengobati infeksi virus Nipah didasarkan pada pengobatan umum dan suportif, pengobatan simtomatik, dan menerapkan prosedur untuk mencegah penyebaran penyakit lebih lanju
263,Secara morfologi, NiV menyerupai paramyxovirus lainnya yang merupakan virus pleomorfik, berbentuk bola, atau seperti benang yang diselimuti dengan ukuran 40 sampaii 1900 nm, mengandung satu lapisan tonjolan permukaan dengan panjang ratarata sekitar 17 nm.
264,Faktor risiko umum yaitu usia dan jenis kelamin orang yang terinfeksi diurutkan sebagai faktor dasar yang dapat menentukan kerentanan terhadap infeksi NiV
265,Faktor risiko penyebarannya yaitu kelelawar buah, perdagangan babi, wisatawan dari negara-negara epidemi, pedagang buah-buahan, petani buah dan hewan peliharaan seperti anjing dan kucing yang terinfeksi
266,Dalam proses ini, NiV memanfaatkan protein F dan G untuk berinteraksi dengan reseptor permukaan sel epitel Ephrin B2/B3 di saluran pernapasan bagian bawah
267,Setelah berikatan dengan reseptor, pori fusi terbentuk pada selubung sel epitel, memungkinkan NiV berinvasi ke dalam sel.
268,Selanjutnya, di dalam sel epitel, terjadi replikasi NiV (terjadi sintesis protein struktural, non struktural, replikasi genom NiV, dan perakitan virus).
269,Setelah lepas dari sel epitel, masuknya NiV ke dalam sel endotel.
270,Di dalam sel endotel, terjadi replikasi virus dan protein F yang memediasi fusi dengan sel lainnya.
271,Virus memasuki aliran darah secara bebas atau dalam bentuk terikat dengan leukosit inang.
272,Setelah itu virus memasuki endotelium lainnya organ tubuh seperti jantung, limpa, dan ginjal.
273,Melalui jalur hematogen, NiV mengganggu BBB (blood-brainbarrier) dan masuk ke SSP
274,Tata cara diagnosis laboratorium NiV meliputi serologi, histopatologi, PCR dan isolasi virus.
275,Tes Netralisasi Serum, ELISA, RT-PCR digunakan untuk konfirmasi.
276,Sebagian besar negara di wilayah Asia Tenggara tidak memiliki fasilitas yang memadai untuk mendeteksi virus atau mengelolanya.
277,NCDC, India, merekomendasikan swab tenggorokan, urin, darah dan/atau CSF untuk diagnosis.
278,Sampel harus diberikan dengan aman dan diantar dalam kontainer pada suhu 2 sampai 8 Celcius.
279,Penyimpanan pada suhu kurang dari 20 derajat C direkomendasikan setelah 48 jam pengumpulan
280,Virus Nipah diakui secara internasional sebagai agen biosecurity level (BSL) 4
281,BSL 2 fasilitas memadai jika virus dapat diinaktivasi terlebih dahulu pada saat pengambilan spesimen.
282,Ada beberapa laboratorium tempat virus dapat dipelajari dengan aman tanpa risiko dari virus tersebut ŌĆ£escapinngŌĆØ dan menginfeksi lebih banyak orang
283,Faktor risiko prognosis terburuk meliputi pasien usia lanjut, memiliki penyakit penyerta, trombositopenia dan peningkatan aminotransferase saat masuk rumah sakit, keterlibatan batang otak, dan kejang
284,Remdesivir terbukti efektif melawan NiV pada primata non-manusia sebagai tindakan pencegahan setelah paparan, ketika diberikan dalam waktu 24 jam setelah kontaminasi intranasal dan intratrakeal, dengan pengobatan berlangsung selama 12 hari.
285,Penggunaan obat ini mungkin menjadi pelengkap dalam terapi imunoterapi.
286,Virus Nipah adalah virus RNA dari famili Paramyxoviridae dan genus Henipavirus dengan kelelawar buah (Pteropus) sebagai reservoir alaminya
287,Selain itu, hewan seperti babi, kuda, dan kambing juga dapat menjadi inang perantara
288,Serum ternak babi diperoleh dari Rumah Potong Hewan (RPH) DKI Jakarta, RPH Medan, RPH Riau, dan beberapa perternakan di Riau, Sumatera Utara, Sumatera Barat dan Sulawesi Utara, pada tahun 2002-2005
289,Babi yang masuk ke RPH DKI Jakarta berasal dari Medan (Sumatera Utara), Lampung, Tanggerang (Banten), Solo (Jawa Tengah) dan Banyuwangi (Jawa Timur)
290,Untuk uji ELISA, serum tersebut diinaktivasi dan diproses lebih lanjut dengan cara sampel dan serum standar (serum positif kuat, positif rendah dan negatif) diencerkan 5 kali dalam PBST, kemudian diinaktivasi dengan pemanasan pada suhu 560 C selama 30 menit.
291,Serum disimpan pada suhu 40 C paling lama 5 hari sebelum digunakan.
292,Some people can also experience atypical pneumonia and severe respiratory problems, including acute respiratory distress.
293,Data menunjukkan bahwa tidak ada satupun serum babi yang mengandung antibodi terhadap virus Nipah (Tabel 2), yang berarti Nipah belum menginfeksi babi di wilayah yang diteliti
294,Situasi ini berbeda dengan kasus di Malaysia, dimana jarak antara koloni Pteropus spp. dan peternakan babi sangat dekat, dan tanaman buah sebagai sumber makanan kalong tersebut tersedia.
295,Selanjutnya monitoring dengan perluasan wilayah surveilen perlu dilakukan untuk mengetahui adanya infeksi nipah lebih dini.
296,The name Nipah refers to the place, Sungai Nipah (literally 'nipah river') in Port Dickson, Negeri Sembilan, the source of the human case from which Nipah virus was first isolated.
297,Nipah virus is one of several viruses identified by the World Health Organization (WHO) as a potential cause of future epidemics in a new plan developed after the Ebola epidemic for urgent research and development toward new diagnostic tests, vaccines and medicines.
298,A major future challenge is to develop and maintain a supply of reliable, targeted, and affordable testing tools to enable rapid diagnostics in labs located in regions where the virus is likely to be found in wildlife reservoirs.
299,In 2016, a phase 1 clinical trial for m102.4 was conducted in Australia with 40 participants, demonstrating that the treatment was safe and well-tolerated, with no signs of an immunogenic response.
300,Economic conditions, poverty levels, and population dynamics significantly influence a nation's overall strength especially in areas where healthcare infrastructure is lacking, effectively managing outbreaks and delivering sufficient care to those infected becomes particularly difficult, worsening the consequences of Nipah virus outbreaks
